H1,H2,H3,H4,H5,H6,H7,H8,Q1,Q2,Proj1,Proj2
10,10,10,9.8,9.5,9.5,10,10,81.33333333,76.2195122,96.5,86
9,10,10,10,10,10,9.5,10,86.21052632,91.91176471,92,93.3
10,10,10,10,10,10,10,10,93.38461538,100,98.88,94.167
10,10,9.9,10,10,10,10,9,84.15384615,80.56521739,88.63,90.67
10,10,10,10,10,10,10,10,94.23076923,91.64,99.63,97.5
9.5,10,10,10,10,9.5,9.5,10,47.14285714,60.36585366,96.5,96
10,10,10,10,10,10,10,10,95.38461538,100,89.13,93.67
10,9,10,9,9,9,8,7,87.69230769,82.96,99.13,92.83
10,10,10,10,10,9,9,10,95,97.74,92.63,94.08
10,10,10,10,10,10,10,10,90.52631579,91.17647059,92.3,93
9.5,9.5,9.9,10,9.7,10,10,10,82.10526316,83.82352941,96,94
10,10,10,10,10,10,10,9.8,90.76923077,84.71,98.63,93.83
10,10,10,9.8,10,10,9.8,9.8,88.30769231,80.06,99.5,93.92
10,10,9.75,10,10,10,9.5,10,72.85714286,78.65853659,95.5,94
10,10,10,10,10,10,10,10,98.07692308,93.08,98.88,92.67
10,10,10,10,10,10,10,10,99.23076923,99.84,98.88,92.83
9.5,10,10,10,9.9,6.5,10,6,94.23076923,85.3,87.5,90.33
10,10,10,10,10,10,9.9,10,93.84615385,100,92.75,93
10,10,9.5,9.8,9,9,9.75,10,71.42857143,84.14634146,94.5,91
10,9.75,9.8,10,9.9,10,9.5,10,58.42105263,74.26470588,96.5,95.7
10,10,10,9.9,10,10,10,10,84.73684211,90.44117647,89.5,92
9.5,9.9,10,9.95,9.5,9,10,10,80,74.3902439,96.5,96
10,9,10,10,9.8,10,10,10,88.94736842,87.5,93.8,95
10,9.5,10,10,10,10,10,9.8,94.61538462,84.12,92.75,92.83
10,10,10,10,10,10,10,10,88.84615385,78.79,95.75,92.67
10,10,10,10,10,10,10,10,91.92307692,86.81,96.5,92.83
10,10,10,10,9.5,10,10,10,81.80952381,88.41463415,94.5,91
10,10,10,10,9.9,10,9,10,95,81.75,92.88,93.33
10,10,10,10,10,10,10,10,95.38461538,100,95,93.33
10,10,10,10,9.9,10,10,10,92.69230769,90.19,99.63,98
10,10,9.9,9.7,9.7,10,10,10,65.57894737,75.73529412,91,96.3
10,10,10,9.9,9.8,10,9.5,10,55.78947368,79.77941176,92.8,95.3
10,10,10,10,10,10,10,10,100,83.44,98.38,92.67
10,10,10,10,9.9,8,8.5,10,96.07692308,54.5,88,88.88
9.5,10,9,10,9.5,9,10,10,84.28571429,87.19512195,95,95
10,10,9.8,9.9,9.9,10,10,10,90.94736842,89.70588235,90,92
10,10,10,10,10,10,10,9.8,90.76923077,93.6,95.5,92.33
10,10,10,10,10,10.00,10,10,91.38461538,90.04,95.75,92.33
10,10,9.9,10,9.9,10,10,9.8,95,92.12,95.75,93
10,10,10,9.9,9.8,10,10,10,79.36842105,87.5,89.5,93
